Tabelle: 42111-0006
Beschäftigte und Umsatz der Betriebe im Verarbeitenden;;;;;;;;;;
Gewerbe: Deutschland, Monate, Wirtschaftszweige;;;;;;;;;;
(WZ2008 2-4-Steller Hierarchie);;;;;;;;;;
Monatsbericht im Verarbeitenden Gewerbe;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;
Betriebe;;;;;;;;;;;;;;;;;;;
;;Betriebe;;Beschäftigte;;Geleistete Arbeitsstunden;;Bruttolohn- und -gehaltssumme;;Umsatz;;Inlandsumsatz;;Auslandsumsatz;;Auslandsumsatz mit der Eurozone;;Auslandsumsatz mit dem sonstigen Ausland;
;;Anzahl;Anzahl;Anzahl;Anzahl;1000;1000;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;227;e;114170;e;14453;e;423183;e;2924433;e;1199304;e;1725129;e;788872;e;936257;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;205;e;108586;e;13750;e;399765;e;2864280;e;1180437;e;1683844;e;775841;e;908003;e
September;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;226;e;115001;e;15661;e;438035;e;3310333;e;1304865;e;2005468;e;938030;e;1067438;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;204;e;109381;e;14933;e;415111;e;3232944;e;1281931;e;1951013;e;922967;e;1028046;e
Oktober;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;226;e;114871;e;15865;e;424559;e;3467731;e;1267457;e;2200274;e;934652;e;1265622;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;204;e;109059;e;15114;e;402011;e;3392833;e;1247588;e;2145245;e;918483;e;1226763;e
November;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;226;e;114748;e;15149;e;683408;e;3243976;e;1205529;e;2038446;e;981553;e;1056894;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;204;e;109123;e;14418;e;649282;e;3172915;e;1187562;e;1985353;e;964431;e;1020922;e
Dezember;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;226;e;114495;e;13509;e;478782;e;3276290;e;1162710;e;2113580;e;1157855;e;955725;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;204;e;108835;e;12899;e;454249;e;3204206;e;1147164;e;2057042;e;1141494;e;915548;e
2009;;;;;;;;;;;;;;;;;;;
Januar;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;221;e;103856;e;13518;e;397417;e;3004510;e;1207226;e;1797284;e;895920;e;901364;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;200;e;98286;e;12791;e;374534;e;2931828;e;1184993;e;1746836;e;877825;e;869011;e
Februar;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;222;e;103967;e;13498;e;396815;e;3011125;e;1152090;e;1859035;e;888397;e;970637;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;201;e;98387;e;12784;e;374829;e;2940249;e;1131951;e;1808297;e;872218;e;936079;e
März;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;223;e;104046;e;14642;e;425657;e;3256235;e;1264050;e;1992185;e;1005830;e;986355;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;202;e;98348;e;13864;e;403118;e;3185866;e;1242984;e;1942882;e;988131;e;954751;e
April;;;;;;;;;;;;;;;;;;;
